OBJECTID,Type,Provider,Latitude,Longitude,X,Y,Location_T,City,Borough Name
837,Limited Free,ALTICEUSA,40.603993,-73.930671,1003501.284,159334.9511,Indoor,Brooklyn,Brooklyn
838,Limited Free,ALTICEUSA,40.604068,-73.93076,1003476.549,159362.2558,Indoor,Brooklyn,Brooklyn
839,Limited Free,ALTICEUSA,40.605008,-73.930027,1003679.814,159704.8837,Outdoor,Brooklyn,Brooklyn
840,Limited Free,ALTICEUSA,40.606029,-73.928466,1004112.963,160077.2104,Outdoor,Brooklyn,Brooklyn
841,Limited Free,ALTICEUSA,40.604383,-73.931063,1003392.322,159476.9521,Outdoor,Brooklyn,Brooklyn
842,Limited Free,ALTICEUSA,40.840657,-73.842668,1027783.082,245590.4754,Outdoor,Bronx,Bronx
843,Limited Free,ALTICEUSA,40.840657,-73.842668,1027783.082,245590.4754,Outdoor,Bronx,Bronx
844,Limited Free,ALTICEUSA,40.840672,-73.842602,1027801.334,245595.9731,Indoor,Bronx,Bronx
845,Limited Free,ALTICEUSA,40.846052,-73.82495,1032681.641,247565.3737,Outdoor,Bronx,Bronx
846,Limited Free,ALTICEUSA,40.894246,-73.896288,1012923.553,265092.9246,Outdoor,Bronx,Bronx
847,Limited Free,ALTICEUSA,40.893739,-73.89622,1012942.572,264908.2265,Outdoor,Bronx,Bronx
848,Limited Free,ALTICEUSA,40.844468,-73.88169,1016983.996,246961.9766,Outdoor,Bronx,Bronx
849,Limited Free,ALTICEUSA,40.844141,-73.881968,1016907.239,246842.7344,Outdoor,Bronx,Bronx
850,Limited Free,ALTICEUSA,40.876541,-73.87845,1017864.223,258648.6268,Indoor,Bronx,Bronx
851,Limited Free,ALTICEUSA,40.876827,-73.878725,1017788.029,258752.7227,Indoor,Bronx,Bronx
852,Limited Free,ALTICEUSA,40.876855,-73.878874,1017746.81,258762.867,Indoor,Bronx,Bronx
853,Limited Free,ALTICEUSA,40.876643,-73.878542,1017838.73,258685.7543,Indoor,Bronx,Bronx
854,Limited Free,ALTICEUSA,40.878445,-73.87548,1018684.58,259343.4827,Outdoor,Bronx,Bronx
855,Limited Free,ALTICEUSA,40.876788,-73.876273,1018466.138,258739.4616,Outdoor,Bronx,Bronx
856,Limited Free,ALTICEUSA,40.877001,-73.879322,1017622.844,258815.8896,Outdoor,Bronx,Bronx
857,Limited Free,ALTICEUSA,40.876099,-73.877384,1018159.247,258487.9998,Outdoor,Bronx,Bronx
858,Limited Free,ALTICEUSA,40.8762,-73.878749,1017781.708,258524.2727,Outdoor,Bronx,Bronx
859,Limited Free,ALTICEUSA,40.65831,-73.94406,999770.7882,179121.4272,Outdoor,Brooklyn,Brooklyn
860,Free,Manhattan Down Alliance,40.7066002,-74.0031967,983363.7042,196710.0053,Outdoor,New York,Manhattan
861,Free,Manhattan Down Alliance,40.705101,-74.0026016,983528.6815,196163.7964,Outdoor,New York,Manhattan
862,Free,Manhattan Down Alliance,40.7047997,-74.0022964,983613.2982,196054.0213,Outdoor,New York,Manhattan
863,Free,Manhattan Down Alliance,40.7070999,-74.0049973,982864.4919,196892.0843,Outdoor,New York,Manhattan
864,Free,Manhattan Down Alliance,40.706501,-74.0045013,983001.9976,196673.8797,Outdoor,New York,Manhattan
865,Free,Manhattan Down Alliance,40.7062988,-74.0061035,982557.7763,196600.2391,Outdoor,New York,Manhattan
866,Free,Manhattan Down Alliance,40.7048988,-74.0093002,981671.4225,196090.2549,Outdoor,New York,Manhattan
867,Free,Manhattan Down Alliance,40.7047005,-74.0089035,981781.4042,196017.9968,Outdoor,New York,Manhattan
868,Free,Manhattan Down Alliance,40.7047005,-74.0083008,981948.5095,196017.9804,Outdoor,New York,Manhattan
869,Free,Chelsea,40.74319278,-74.00738776,982202.8436,210041.8831,Outdoor,New York,Manhattan
870,Free,Chelsea,40.74259125,-74.00506496,982846.4798,209822.6841,Outdoor,New York,Manhattan
871,Free,Chelsea,40.74183935,-74.00325716,983347.4201,209548.7161,Outdoor,New York,Manhattan
872,Free,Chelsea,40.74275383,-74.00767207,982124.0459,209881.9674,Outdoor,New York,Manhattan
873,Free,Chelsea,40.73948602,-74.00626659,982513.4228,208691.3701,Outdoor,New York,Manhattan
874,Free,Chelsea,40.74440799,-74.00663674,982410.9853,210484.6089,Outdoor,New York,Manhattan
875,Free,Chelsea,40.74260751,-74.0042603,983069.4551,209828.5955,Outdoor,New York,Manhattan
876,Free,Chelsea,40.74247745,-74.00296211,983429.1863,209781.196,Outdoor,New York,Manhattan
877,Free,Chelsea,40.74229862,-74.00070906,984053.5168,209716.0285,Outdoor,New York,Manhattan
878,Free,Chelsea,40.74369675,-74.00701761,982305.4261,210225.4881,Outdoor,New York,Manhattan
879,Free,Chelsea,40.74155484,-74.00111139,983942.0255,209445.0461,Outdoor,New York,Manhattan
880,Free,Chelsea,40.74190031,-74.00185704,983735.4013,209570.9165,Outdoor,New York,Manhattan
881,Free,Chelsea,40.74398938,-74.00341272,983304.3414,210332.042,Outdoor,New York,Manhattan
882,Free,Chelsea,40.74099801,-74.0054512,982739.4157,209242.2213,Outdoor,New York,Manhattan
883,Free,Chelsea,40.74025828,-74.00600374,982586.2838,208972.7232,Outdoor,New York,Manhattan
884,Free,Chelsea,40.74340615,-74.00521517,982804.8753,210119.5795,Outdoor,New York,Manhattan
885,Free,Chelsea,40.74277009,-74.00171757,983774.057,209887.8021,Outdoor,New York,Manhattan
886,Free,Chelsea,40.74094924,-74.00340199,983307.2716,209224.4228,Outdoor,New York,Manhattan
887,Free,Chelsea,40.74324155,-74.00680304,982364.8722,210059.639,Outdoor,New York,Manhattan
888,Free,Chelsea,40.74343663,-74.00364876,983238.9285,210130.6631,Outdoor,New York,Manhattan
889,Free,Chelsea,40.74027454,-74.00197506,983702.6848,208978.5955,Outdoor,New York,Manhattan
890,Limited Free,SPECTRUM,40.61775,-74.108185,954215.3724,164357.9125,Indoor,Staten Island,Staten Island
